model,target_fps,optimization_mode,n_validation_recordings,mean_F1,median_F1,std_F1,mean_precision,mean_recall,mean_median_abs_timing_error_sec,median_median_abs_timing_error_sec,mean_signed_timing_error_sec,mean_timing_weighted_recall,median_timing_weighted_recall,smoothing_window_sec,derivative_weight,amplitude_weight,event_score_threshold,baseline_min_event_distance_sec,ar_model,method,optimize_b,optimize_pars,oasis_threshold_z,oasis_min_event_distance_sec,mlspike_use_autocalibration,mlspike_a,mlspike_tau,mlspike_sigma,mlspike_saturation,mlspike_drift_parameter,mlspike_amin,mlspike_amax,mlspike_taumin,mlspike_taumax
SimpleBaseline,10,spike_bins,14,0.397118559567882,0.425671692074455,0.107031094328016,0.678170539116258,0.353053773029775,0,0,0.0163961154575932,0.250381815465255,0.246142463969881,0.1,0.5,0.5,1,0.03,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.397118559567882,0.425671692074455,0.107031094328016,0.678170539116258,0.353053773029775,0,0,0.0163961154575932,0.250381815465255,0.246142463969881,0.1,0.5,0.5,1,0.05,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.397118559567882,0.425671692074455,0.107031094328016,0.678170539116258,0.353053773029775,0,0,0.0163961154575932,0.250381815465255,0.246142463969881,0.1,0.5,0.5,1,0.08,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.397118559567882,0.425671692074455,0.107031094328016,0.678170539116258,0.353053773029775,0,0,0.0163961154575932,0.250381815465255,0.246142463969881,0.1,0.5,0.5,1,0.1,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.373538042827442,0.394879972882192,0.118538293720261,0.677493711617581,0.326060693426041,0.00714284895184805,0,0.0169086464517411,0.231892364490646,0.225065541215957,0.1,0.5,0.5,1,0.15,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.384657351078827,0.4094335267925,0.112326935518596,0.703159614108384,0.326615325005644,0,0,0.0162629944285428,0.235110674559674,0.230944832029583,0.1,0.5,0.5,1.1,0.03,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.384657351078827,0.4094335267925,0.112326935518596,0.703159614108384,0.326615325005644,0,0,0.0162629944285428,0.235110674559674,0.230944832029583,0.1,0.5,0.5,1.1,0.05,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.384657351078827,0.4094335267925,0.112326935518596,0.703159614108384,0.326615325005644,0,0,0.0162629944285428,0.235110674559674,0.230944832029583,0.1,0.5,0.5,1.1,0.08,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.384657351078827,0.4094335267925,0.112326935518596,0.703159614108384,0.326615325005644,0,0,0.0162629944285428,0.235110674559674,0.230944832029583,0.1,0.5,0.5,1.1,0.1,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,10,spike_bins,14,0.362502952219329,0.371407739365486,0.123445311540324,0.701538073399873,0.302673957432456,0.00714284895184805,0,0.0162876964707598,0.218943365926438,0.207797646702215,0.1,0.5,0.5,1.1,0.15,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
