model,target_fps,optimization_mode,n_validation_recordings,mean_F1,median_F1,std_F1,mean_precision,mean_recall,mean_median_abs_timing_error_sec,median_median_abs_timing_error_sec,mean_signed_timing_error_sec,mean_timing_weighted_recall,median_timing_weighted_recall,smoothing_window_sec,derivative_weight,amplitude_weight,event_score_threshold,baseline_min_event_distance_sec,ar_model,method,optimize_b,optimize_pars,oasis_threshold_z,oasis_min_event_distance_sec,mlspike_use_autocalibration,mlspike_a,mlspike_tau,mlspike_sigma,mlspike_saturation,mlspike_drift_parameter,mlspike_amin,mlspike_amax,mlspike_taumin,mlspike_taumax
SimpleBaseline,100,burst_onsets,14,0.38795919446299,0.422375496843582,0.132475658876913,0.316396591983842,0.638975461092598,0.0414284539631267,0.0399999976875287,0.000193927180115095,0.36941866018919,0.374431708837804,0.1,0.5,0.5,0.8,0.1,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,100,burst_onsets,14,0.39014940987564,0.415786240786241,0.127837983855159,0.334287521548314,0.590017693234563,0.0428570274272912,0.0400002022447069,0.00631840075112729,0.338611629034123,0.346470690023262,0.1,0.5,0.5,0.8,0.15,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,100,burst_onsets,14,0.326502395108566,0.286902064130638,0.156342934449114,0.262673726159289,0.60894248125874,0.0489284878850854,0.0499996027605503,-0.0150907905860878,0.312289361417945,0.331281113398248,0.1,0.5,0.5,0.9,0.03,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,100,burst_onsets,14,0.358190817203626,0.347089845359409,0.142869703970486,0.294740405190926,0.604475976967609,0.0442856286904674,0.0449998004179567,-0.00867152953082092,0.328722320141577,0.337687191988179,0.1,0.5,0.5,0.9,0.05,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,100,burst_onsets,14,0.387929786165022,0.399501075268817,0.130972317180701,0.332285485659762,0.591055732695643,0.042142753041155,0.0400001429356304,0.000794887982419858,0.338168223699502,0.339189942681679,0.1,0.5,0.5,0.9,0.08,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,100,burst_onsets,14,0.390193316259452,0.406553373359113,0.130933814929418,0.335979111736948,0.587903481002298,0.0414284581567644,0.0399999976875287,0.00188475161826956,0.339458950363361,0.339420520913893,0.1,0.5,0.5,0.9,0.1,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,100,burst_onsets,14,0.391382266449376,0.393234462435582,0.126871381367725,0.354239688434655,0.545697331062182,0.0428570288573157,0.0424999224039722,0.00735558529638584,0.313434086351016,0.308104396576259,0.1,0.5,0.5,0.9,0.15,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,100,burst_onsets,14,0.326690200677264,0.276002592946868,0.152145646360067,0.277214823843655,0.560111101033803,0.0496427809951844,0.0499998036564936,-0.0118056077971506,0.287202270998212,0.310391924894662,0.1,0.5,0.5,1,0.03,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,100,burst_onsets,14,0.356724536681609,0.343251867095193,0.138747666840029,0.309936181192786,0.554724910488613,0.0460713366665447,0.0474997100688339,-0.00574038369068847,0.300825457899384,0.310264242692722,0.1,0.5,0.5,1,0.05,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,100,burst_onsets,14,0.384797101230809,0.379054982817869,0.12761723684187,0.348477598825467,0.543279672410829,0.042499897989115,0.0400001429356304,0.00310777543430142,0.310578085212901,0.317054452979435,0.1,0.5,0.5,1,0.08,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,100,burst_onsets,14,0.386947429206096,0.380637615871091,0.127574066354159,0.352469986338994,0.54085532486637,0.0417856031047244,0.0399999976875287,0.00423568045103682,0.312359756080336,0.315401555994758,0.1,0.5,0.5,1,0.1,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,100,burst_onsets,14,0.386438330691521,0.366750848520919,0.12402794899809,0.371015272649676,0.501759285722073,0.0432141765688889,0.0400002022447069,0.00907148193382688,0.288823263621337,0.271336321491873,0.1,0.5,0.5,1,0.15,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,100,burst_onsets,14,0.32642259368055,0.270842689036061,0.151576634450941,0.293180567377998,0.514143399537834,0.049999919008254,0.0499997025344209,-0.0106512769496308,0.266168503462908,0.283735717973942,0.1,0.5,0.5,1.1,0.03,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,100,burst_onsets,14,0.354970221828891,0.334743880164768,0.138589533934733,0.326620895072646,0.508894565676749,0.0464284866712751,0.0499997025344209,-0.00502159133125431,0.277631406041884,0.282026624189254,0.1,0.5,0.5,1.1,0.05,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,100,burst_onsets,14,0.38021169107976,0.351716352519044,0.127551779316556,0.364591592551639,0.497722140139956,0.0424998923277178,0.0399999976875287,0.00355583279608611,0.286232343515797,0.289189137774674,0.1,0.5,0.5,1.1,0.08,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SimpleBaseline,100,burst_onsets,14,0.382463320368666,0.352982282133357,0.12758673202294,0.369043941851996,0.495834753274231,0.0421427448855225,0.0399999976875287,0.00470641541786979,0.288537002395713,0.288638169480559,0.1,0.5,0.5,1.1,0.1,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
